Địa phương,Năm,Giá trị
Hà Tĩnh,2020,5.591213333333333
Hòa Bình,2020,5.6648
Hưng Yên,2020,5.91875
Hải Dương,2020,6.006266666666667
Hậu Giang,2020,5.337663333333333
Khánh Hòa,2020,5.456123333333333
Kiên Giang,2020,4.99669
Kon Tum,2020,6.593323333333334
Lai Châu,2020,5.034766666666666
Long An,2020,5.645333333333334
Lào Cai,2020,5.4374899999999995
Lâm Đồng,2020,6.326866666666667
Nam Định,2020,7.637333333333334
Nghệ An,2020,5.86176
Ninh Bình,2020,5.786449999999999
Ninh Thuận,2020,5.184516666666666
Phú Thọ,2020,6.5872
Phú Yên,2020,5.613883333333333
Quảng Bình,2020,4.840483333333332
Quảng Nam,2020,5.8715953307393
Quảng Ngãi,2020,5.834833333333334
Quảng Ninh,2020,4.38117
Quảng Trị,2020,5.343383333333334
Sóc Trăng,2020,6.3815100000000005
Sơn La,2020,4.338480000000001
Thanh Hóa,2020,5.938063333333334
Thái Bình,2020,6.176783333333333
Thái Nguyên,2020,5.324083333333334
Thừa Thiên - Huế,2020,5.852023333333334
Tiền Giang,2020,6.232426666666666
Trà Vinh,2020,5.344983333333333
Tuyên Quang,2020,6.05024
Tây Ninh,2020,5.7277
Vĩnh Long,2020,5.74088
Vĩnh Phúc,2020,6.645449999999999
Yên Bái,2020,6.453133333333334
Điện Biên,2020,5.4818500000000006
Đắk Lắk,2020,4.938440000000001
Đắk Nông,2020,5.181816666666666
Đồng Nai,2020,5.966950000000001
Đồng Tháp,2020,6.226630000000001
Lạng Sơn,2021,5.658883333333333
TP. Cần Thơ,2021,6.190433333333333
Hà Nội,2021,6.577693333333333
Hải Phòng,2021,6.567266666666667
TP. Hồ Chí Minh,2021,7.580016666666667
Đà Nẵng,2021,6.269916666666667
An Giang,2021,6.615123333333333
Bà Rịa - Vũng Tàu,2021,6.682716666666667
Bình Dương,2021,6.4436833333333325
Bình Phước,2021,6.298933333333333
Bình Thuận,2021,6.68476
Bình Định,2021,6.1778
Bạc Liêu,2021,6.233556666666666
Bắc Giang,2021,5.228556666666667
Bắc Kạn,2021,4.914306666666667
Bắc Ninh,2021,8.008016666666666
Bến Tre,2021,5.946456666666667
Cao Bằng,2021,5.37982
Cà Mau,2021,5.887963333333333
Gia Lai,2021,6.311966666666667
Hà Giang,2021,5.0391
Hà Nam,2021,8.271428571428572
Hà Tĩnh,2021,6.0537
Hòa Bình,2021,5.239706666666667
Hưng Yên,2021,6.442983333333333
Hải Dương,2021,6.0437
Hậu Giang,2021,5.403293333333333
Khánh Hòa,2021,5.763116666666667
Kiên Giang,2021,5.216803333333333
Kon Tum,2021,6.477626666666667
Lai Châu,2021,5.250126666666667
Long An,2021,5.9210666666666665
Lào Cai,2021,5.801956666666667
Lâm Đồng,2021,7.149703333333333
Nam Định,2021,7.825833333333334
Nghệ An,2021,6.820196666666667
Ninh Bình,2021,5.969583333333334
Ninh Thuận,2021,5.667633333333333
Phú Thọ,2021,7.273733333333333
Phú Yên,2021,5.595033333333332
Quảng Bình,2021,5.294416666666667
Quảng Nam,2021,5.811583333333334
Quảng Ngãi,2021,6.300073333333334
Quảng Ninh,2021,5.0040233333333335
Quảng Trị,2021,5.388696666666667
Sóc Trăng,2021,5.894266666666667
Sơn La,2021,5.092203333333333
Thanh Hóa,2021,6.837066666666667
Thái Bình,2021,6.3971
Thái Nguyên,2021,5.89495
Thừa Thiên - Huế,2021,6.0187366666666655
Tiền Giang,2021,6.56061
Trà Vinh,2021,5.47475
Tuyên Quang,2021,6.678096666666667
Tây Ninh,2021,6.024673333333333
Vĩnh Long,2021,5.993119999999999
Vĩnh Phúc,2021,7.123703333333333
Yên Bái,2021,6.7626333333333335
Điện Biên,2021,5.77715
Đắk Lắk,2021,5.29789
Đắk Nông,2021,5.232893333333333
Đồng Nai,2021,7.663463203463204
Đồng Tháp,2021,6.2510900000000005
Lạng Sơn,2022,5.56785
TP. Cần Thơ,2022,5.8256733333333335
Hà Nội,2022,5.859766666666667
Hải Phòng,2022,6.825583333333334
TP. Hồ Chí Minh,2022,7.153913333333333
Đà Nẵng,2022,5.963966666666666
An Giang,2022,6.338666666666666
Bà Rịa - Vũng Tàu,2022,6.10247261345853
Bình Dương,2022,6.216493333333334
Bình Phước,2022,5.882533333333333
Bình Thuận,2022,6.6943633333333326
Bình Định,2022,6.078566666666666
Bạc Liêu,2022,5.612956666666667
Bắc Giang,2022,5.08911
Bắc Kạn,2022,4.884346666666667
Bắc Ninh,2022,7.81565
Bến Tre,2022,5.630233333333334
Cao Bằng,2022,4.934203333333333
Cà Mau,2022,5.881413333333334
Gia Lai,2022,5.618553333333333
Hà Giang,2022,4.899216666666667
Hà Nam,2022,6.526916666666666
Hà Tĩnh,2022,5.906066666666668
Hòa Bình,2022,6.33105
Hưng Yên,2022,6.199416666666666
Hải Dương,2022,5.917116666666667
Hậu Giang,2022,5.15078
Khánh Hòa,2022,5.453216666666667
Kiên Giang,2022,5.16434
Kon Tum,2022,5.863723333333334
Lai Châu,2022,4.914483333333334
Long An,2022,5.467913333333334
Lào Cai,2022,5.68072
Lâm Đồng,2022,6.7794
Nam Định,2022,7.459233333333333
Nghệ An,2022,6.647186666666666
Ninh Bình,2022,6.020666666666666
Ninh Thuận,2022,5.33955
Phú Thọ,2022,6.83729
Phú Yên,2022,5.149
Quảng Bình,2022,5.174033333333334
Quảng Nam,2022,5.58857
Quảng Ngãi,2022,5.654456666666667
Quảng Ninh,2022,4.68391
Quảng Trị,2022,5.103983333333334
Sóc Trăng,2022,5.575866666666667
Sơn La,2022,4.84418
Thanh Hóa,2022,6.500716666666667
Thái Bình,2022,5.968683333333333
Thái Nguyên,2022,6.1287
Thừa Thiên - Huế,2022,5.699739999999999
Tiền Giang,2022,6.274006666666666
Trà Vinh,2022,5.1066
Tuyên Quang,2022,6.544230000000001
Tây Ninh,2022,5.42988
Vĩnh Long,2022,5.888943333333333
Vĩnh Phúc,2022,6.98455
Yên Bái,2022,6.768933333333332
Điện Biên,2022,5.327083333333334
Đắk Lắk,2022,4.94753
Đắk Nông,2022,5.13958
Đồng Nai,2022,5.8008500000000005
Đồng Tháp,2022,6.07651
Lạng Sơn,2023,5.592116666666667
TP. Cần Thơ,2023,5.944566666666668
Hà Nội,2023,7.259429824561404
Hải Phòng,2023,6.728883333333333
TP. Hồ Chí Minh,2023,7.112333333333334
Đà Nẵng,2023,6.192016666666667
An Giang,2023,6.176219999999999
Bà Rịa - Vũng Tàu,2023,6.888613333333333
Bình Dương,2023,6.088166666666666
Bình Phước,2023,6.082883333333333
Bình Thuận,2023,6.452850000000001
