Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Tuyên Quang,2022,Vùng trung du và miền núi phía Bắc,0.867196,805.78,137.0,nan,nan,nan,nan,7.058935024990389
Tuyên Quang,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,7.199706867671693
Lào Cai,2018,Vùng trung du và miền núi phía Bắc,1.023249,720.8,113.26,"0,531","0,643","0,754","0,665",4.515511204481792
Lào Cai,2019,Vùng trung du và miền núi phía Bắc,0.9382263333333332,733.3,115.0,"0,549","0,657","0,757","0,683",4.935023956194387
Lào Cai,2020,Vùng trung du và miền núi phía Bắc,0.9382263333333332,746.36,117.0,"0,551","0,663","0,758","0,698",5.539282744282744
Lào Cai,2021,Vùng trung du và miền núi phía Bắc,0.992163,761.89,120.0,nan,nan,nan,nan,6.046529433008306
Lào Cai,2022,Vùng trung du và miền núi phía Bắc,0.799267,770.59,121.0,nan,nan,nan,nan,5.809430468204053
Lào Cai,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,5.944277129727819
Yên Bái,2018,Vùng trung du và miền núi phía Bắc,0.748161,814.6,118.27,"0,576","0,632","0,762","0,575",5.036833333333334
Yên Bái,2019,Vùng trung du và miền núi phía Bắc,0.594146,823.0,119.0,"0,575","0,637","0,765","0,588",5.832678311499272
Yên Bái,2020,Vùng trung du và miền núi phía Bắc,0.538622,831.59,121.0,"0,594","0,649","0,762","0,604",6.851576576576577
Yên Bái,2021,Vùng trung du và miền núi phía Bắc,0.526685,842.67,122.0,nan,nan,nan,nan,8.13480459770115
Yên Bái,2022,Vùng trung du và miền núi phía Bắc,0.526685,847.25,123.0,nan,nan,nan,nan,7.6065625
Yên Bái,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,7.430400485436893
Lai Châu,2018,Vùng trung du và miền núi phía Bắc,0.320331,453.4,50.0,"0,441","0,571","0,703","0,599",4.40686274509804
Lai Châu,2019,Vùng trung du và miền núi phía Bắc,0.422989,462.6,51.0,"0,456","0,576","0,705","0,594",4.975033200531208
Lai Châu,2020,Vùng trung du và miền núi phía Bắc,0.354376,469.81,52.0,"0,45","0,582","0,718","0,609",5.691194968553459
Lai Châu,2021,Vùng trung du và miền núi phía Bắc,0.277382,478.43,53.0,nan,nan,nan,nan,6.073888888888889
Lai Châu,2022,Vùng trung du và miền núi phía Bắc,0.30045,482.1,53.0,nan,nan,nan,nan,5.498204814361484
Lai Châu,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,5.976918392204628
Sơn La,2018,Vùng trung du và miền núi phía Bắc,0.8392879999999999,1233.1,87.31,"0,501","0,616","0,782","0,599",3.7431984260820688
Sơn La,2019,Vùng trung du và miền núi phía Bắc,0.819932,1252.7,89.0,"0,517","0,622","0,783","0,596",3.690686026936027
Sơn La,2020,Vùng trung du và miền núi phía Bắc,0.84712,1270.56,90.0,"0,529","0,633","0,784","0,611",4.832567449956485
Sơn La,2021,Vùng trung du và miền núi phía Bắc,0.850812,1287.72,91.0,nan,nan,nan,nan,5.888728070175438
Sơn La,2022,Vùng trung du và miền núi phía Bắc,0.8392879999999999,1300.13,92.0,nan,nan,nan,nan,5.467055344317701
Sơn La,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,5.510874316939892
Điện Biên,2018,Vùng trung du và miền núi phía Bắc,0.513999,590.5,61.89,"0,497","0,588","0,734","0,557",5.196774193548387
Điện Biên,2019,Vùng trung du và miền núi phía Bắc,0.577385,601.7,63.0,"0,492","0,589","0,735","0,566",5.580343007915567
Điện Biên,2020,Vùng trung du và miền núi phía Bắc,0.588423,613.48,64.0,"0,512","0,602","0,745","0,571",6.016815856777493
Điện Biên,2021,Vùng trung du và miền núi phía Bắc,0.518661,625.09,66.0,nan,nan,nan,nan,6.412132204756148
Điện Biên,2022,Vùng trung du và miền núi phía Bắc,0.582842,635.92,67.0,nan,nan,nan,nan,5.698549064528447
Điện Biên,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,5.341655658300308
Hòa Bình,2018,Vùng trung du và miền núi phía Bắc,0.734169,850.4,185.25,"0,618","0,686","0,809","0,646",5.194283333333333
Hòa Bình,2019,Vùng trung du và miền núi phía Bắc,0.81169425,855.8,186.0,"0,628","0,692","0,811","0,65",6.247549019607843
Hòa Bình,2020,Vùng trung du và miền núi phía Bắc,0.733744,861.22,188.0,"0,63","0,697","0,809","0,663",6.039007891770011
Hòa Bình,2021,Vùng trung du và miền núi phía Bắc,0.693926,871.72,190.0,nan,nan,nan,nan,5.546291759465478
Hòa Bình,2022,Vùng trung du và miền núi phía Bắc,1.084938,875.38,191.0,nan,nan,nan,nan,6.9227764423076925
Hòa Bình,2023,Vùng trung du và miền núi phía Bắc,nan,nan,nan,nan,nan,nan,nan,6.816025641025641
Hà Nội,2018,Vùng đồng bằng sông Hồng,2.943922,7914.5,2356.49,"0,787","0,794","0,852","0,746",5.887337337337337
Hà Nội,2019,Vùng đồng bằng sông Hồng,4.24497,8093.9,2410.0,"0,79","0,799","0,854","0,758",6.451248185776487
Hà Nội,2020,Vùng đồng bằng sông Hồng,3.406219,8246.54,2454.0,"0,783","0,799","0,853","0,763",7.150718208702999
Hà Nội,2021,Vùng đồng bằng sông Hồng,3.186683,8330.83,2480.0,nan,nan,nan,nan,7.723074935400517
Hà Nội,2022,Vùng đồng bằng sông Hồng,3.4454485000000004,8435.65,2511.0,nan,nan,nan,nan,7.297702312138728
Hà Nội,2023,Vùng đồng bằng sông Hồng,nan,nan,nan,nan,nan,nan,nan,7.805223880597015
Hải Phòng,2018,Vùng đồng bằng sông Hồng,0.68497,2016.4,1291.07,"0,729","0,769","0,84","0,742",4.8867534200867535
Hải Phòng,2019,Vùng đồng bằng sông Hồng,0.759331,2033.3,1302.0,"0,729","0,777","0,842","0,765",5.658451257861636
Hải Phòng,2020,Vùng đồng bằng sông Hồng,1.067074,2053.49,1345.0,"0,732","0,782","0,839","0,78",6.432545045045045
Hải Phòng,2021,Vùng đồng bằng sông Hồng,1.066836,2072.39,1358.0,nan,nan,nan,nan,6.5743062520896025
Hải Phòng,2022,Vùng đồng bằng sông Hồng,1.208275,2088.02,1368.0,nan,nan,nan,nan,6.8485632183908045
Hải Phòng,2023,Vùng đồng bằng sông Hồng,nan,nan,nan,nan,nan,nan,nan,6.776774847870183
Hải Dương,2018,Vùng đồng bằng sông Hồng,0.6580524999999999,1877.7,1125.58,"0,672","0,723","0,842","0,667",5.035739030023095
