Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Hà Nội,2018,Vùng đồng bằng sông Hồng,2.943922,7914.5,2356.49,0.787,0.794,0.852,0.746,5.887337337337337
Hà Nội,2019,Vùng đồng bằng sông Hồng,4.24497,8093.9,2410.0,0.79,0.799,0.854,0.758,6.451248185776487
Hà Nội,2020,Vùng đồng bằng sông Hồng,3.406219,8246.54,2454.0,0.783,0.799,0.853,0.763,7.150718208702999
Hải Phòng,2018,Vùng đồng bằng sông Hồng,0.68497,2016.4,1291.07,0.729,0.769,0.84,0.742,4.8867534200867535
Hải Phòng,2019,Vùng đồng bằng sông Hồng,0.759331,2033.3,1302.0,0.729,0.777,0.842,0.765,5.658451257861636
Hải Phòng,2020,Vùng đồng bằng sông Hồng,1.067074,2053.49,1345.0,0.732,0.782,0.839,0.78,6.432545045045045
Hải Dương,2018,Vùng đồng bằng sông Hồng,0.6580524999999999,1877.7,1125.58,0.672,0.723,0.842,0.667,5.035739030023095
Hải Dương,2019,Vùng đồng bằng sông Hồng,0.688952,1896.9,1137.0,0.676,0.728,0.843,0.677,5.560580836108028
Hải Dương,2020,Vùng đồng bằng sông Hồng,0.627153,1916.77,1149.0,0.688,0.735,0.843,0.684,6.341400304414003
Hưng Yên,2018,Vùng đồng bằng sông Hồng,0.07971,1242.4,1335.63,0.674,0.728,0.838,0.683,4.833369022127052
Hưng Yên,2019,Vùng đồng bằng sông Hồng,0.526943,1255.8,1350.0,0.683,0.736,0.84,0.695,5.052832751261156
Hưng Yên,2020,Vùng đồng bằng sông Hồng,0.38614225,1269.09,1364.0,0.692,0.745,0.842,0.709,6.526799356654604
Vĩnh Phúc,2018,Vùng đồng bằng sông Hồng,0.9070146666666666,1138.4,921.63,0.653,0.736,0.834,0.733,4.389852280025691
Vĩnh Phúc,2019,Vùng đồng bằng sông Hồng,0.88521,1154.8,934.0,0.675,0.749,0.835,0.744,6.962941176470588
Vĩnh Phúc,2020,Vùng đồng bằng sông Hồng,1.007542,1171.2,948.0,0.678,0.751,0.831,0.753,7.704829931972788
Bắc Ninh,2018,Vùng đồng bằng sông Hồng,1.322746,1337.3,1625.5,0.668,0.762,0.835,0.794,6.009680134680135
Bắc Ninh,2019,Vùng đồng bằng sông Hồng,2.027226,1378.6,1676.0,0.673,0.764,0.835,0.793,6.032056362835755
Bắc Ninh,2020,Vùng đồng bằng sông Hồng,1.277081,1419.13,1725.0,0.683,0.768,0.832,0.796,7.314059196617335
Thái Bình,2018,Vùng đồng bằng sông Hồng,0.561461,1854.1,1168.75,0.65,0.694,0.851,0.604,5.911802413273001
Thái Bình,2019,Vùng đồng bằng sông Hồng,0.7778465,1862.2,1174.0,0.666,0.706,0.852,0.621,6.485261707988981
Thái Bình,2020,Vùng đồng bằng sông Hồng,0.7778465,1870.24,1180.0,0.67,0.711,0.845,0.635,7.308893461362597
Nam Định,2018,Vùng đồng bằng sông Hồng,0.833863,1784.2,1069.34,0.639,0.678,0.837,0.584,6.420334022038567
Nam Định,2019,Vùng đồng bằng sông Hồng,0.830838,1780.9,1067.0,0.646,0.687,0.838,0.599,6.942959607399018
Nam Định,2020,Vùng đồng bằng sông Hồng,0.809,1780.33,1067.0,0.639,0.691,0.839,0.617,7.738905930470348
Hà Nam,2018,Vùng đồng bằng sông Hồng,0.47512025,847.1,982.83,0.642,0.707,0.84,0.656,5.816686413902053
Hà Nam,2019,Vùng đồng bằng sông Hồng,0.676016,854.5,991.0,0.666,0.724,0.842,0.677,6.607450505050506
Hà Nam,2020,Vùng đồng bằng sông Hồng,0.464156,861.83,1000.0,0.666,0.729,0.842,0.69,7.196732026143791
Ninh Bình,2018,Vùng đồng bằng sông Hồng,0.569212,974.7,702.84,0.657,0.706,0.826,0.649,4.933058823529413
Ninh Bình,2019,Vùng đồng bằng sông Hồng,0.621368,984.5,710.0,0.671,0.719,0.828,0.668,5.350556217719507
Ninh Bình,2020,Vùng đồng bằng sông Hồng,0.704694,993.92,717.0,0.675,0.727,0.833,0.683,6.2928515928515925
Quảng Ninh,2018,Vùng đồng bằng sông Hồng,1.062769,1303.9,211.05,0.683,0.757,0.822,0.772,4.193883610451306
Quảng Ninh,2019,Vùng đồng bằng sông Hồng,1.313127,1324.8,214.0,0.696,0.769,0.823,0.794,3.9373025276461298
Quảng Ninh,2020,Vùng đồng bằng sông Hồng,0.809019,1337.61,216.0,0.681,0.769,0.822,0.811,4.70292261132728
Thanh Hóa,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,2.39737,3631.3,326.71,0.634,0.679,0.82,0.603,5.378919330289193
Thanh Hóa,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,2.30467,3645.8,328.0,0.636,0.689,0.82,0.627,6.291275831087153
Thanh Hóa,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,2.593912,3664.94,330.0,0.642,0.697,0.822,0.641,7.120195797516714
Nghệ An,2018,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.1814986666666665,3291.4,199.7,0.665,0.683,0.812,0.59,4.733901054339011
Nghệ An,2019,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.213115,3337.2,202.0,0.662,0.686,0.814,0.6,5.354555052790347
Nghệ An,2020,Vùng Bắc Trung Bộ và duyên hải miền Trung,1.205852,3365.2,204.0,0.669,0.696,0.817,0.617,6.15038374717833
