iter	RMSE
461	0.1611815664
462	0.1609730037
463	0.1608535707
464	0.1606200128
465	0.1601572974
466	0.1599178677
467	0.1593627178
468	0.1591708386
469	0.1590932453
470	0.1587056134
471	0.1584623516
472	0.158291377
473	0.1582026637
474	0.1580541912
475	0.1577883611
476	0.1576209258
477	0.1573889676
478	0.1572359814
479	0.1565558558
480	0.1562425388
481	0.1556464484
482	0.1555600026
483	0.1553536082
484	0.1548860335
485	0.1547323152
486	0.1544297396
487	0.1542900495
488	0.1541337534
489	0.1537876363
490	0.1536497072
491	0.1535425673
492	0.1532385403
493	0.1529471273
494	0.1528454432
495	0.1524664908
496	0.1521911953
497	0.1519249103
498	0.151845958
499	0.151792079
500	0.1516990853
501	0.1513432832
502	0.1513251311
503	0.1511175762
504	0.1509452318
505	0.1509125171
506	0.1505133091
507	0.1504510129
508	0.1503694611
509	0.150247617
510	0.1502365867
511	0.1500924757
512	0.1498537651
513	0.1496482391
514	0.1495702012
515	0.1494429415
516	0.1493437143
517	0.1493282177
518	0.1493029014
519	0.149045349
520	0.1488515827
521	0.1488020344
522	0.1487276914
523	0.1484991154
524	0.1483090646
525	0.1478395894
526	0.1477608295
527	0.1473210581
528	0.1468433406
529	0.1465313235
530	0.1464159515
531	0.1461314512
532	0.1460675222
533	0.1459082336
534	0.1458476502
535	0.1456279772
536	0.1454828176
537	0.1454676147
538	0.1451525422
539	0.1449296851
540	0.1447159581
541	0.144468358
542	0.1442880404
543	0.1441411485
544	0.143991633
545	0.1439302743
546	0.143657704
547	0.1432359333
548	0.1431532439
549	0.1430711336
550	0.1429693887
551	0.1425564456
552	0.142406924
553	0.142180978
554	0.1420687574
555	0.1419065173
556	0.1418174801
557	0.1417517216
558	0.1416387277
559	0.1414322171
560	0.1413124619
561	0.141080044
562	0.1407431829
563	0.1406104719
564	0.1405986838
565	0.1404271262
566	0.1404120547
567	0.1402760336
568	0.1400141977
569	0.139920451
570	0.1396942342
571	0.1394687848
572	0.1391733027
573	0.1391182608
574	0.1390400451
575	0.1388781245
576	0.1388257623
577	0.1387043009
578	0.1386025765
579	0.1384047072
580	0.1383492475
581	0.1380691355
582	0.1377957493
583	0.1376263405
584	0.1374778249
585	0.1373726057
586	0.1369568669
587	0.1367528522
588	0.1364300778
589	0.1361387629
590	0.1361047591
591	0.1358509078
592	0.1356737958
593	0.1355075408
594	0.1352598647
595	0.1349350814
596	0.1348034965
597	0.1344867284
598	0.134338636
599	0.134256077
600	0.1342226699
601	0.1340799142
602	0.1338271781
603	0.1336999146
604	0.1335782697
605	0.133536123
606	0.133459571
607	0.1332405364
608	0.1329721594
609	0.1327840814
610	0.1325020926
611	0.1323869177
612	0.1321402742
613	0.1319574604
614	0.1317243605
615	0.1314921059
616	0.1312340653
617	0.1309826958
618	0.130680001
619	0.1305443647
620	0.1303969145
621	0.1300405548
622	0.1300266066
623	0.1297333807
624	0.1294921275
625	0.1292624456
626	0.1290526204
627	0.1288196006
628	0.1285034344
629	0.1281372618
630	0.1280007963
631	0.1279718687
632	0.1276258906
633	0.1274169269
634	0.1271584717
635	0.1269074578
636	0.126874342
637	0.1266326586
638	0.1264249146
639	0.1260555502
640	0.1259341484
641	0.125499792
642	0.1253219715
643	0.1250832552
644	0.1248573422
645	0.1246072576
646	0.124353054
647	0.1241045195
648	0.1239858811
649	0.1237532799
650	0.1234842767
651	0.1233221865
652	0.1230357689
653	0.1227867625
654	0.1225636582
655	0.122523119
656	0.1222440936
657	0.1222280406
658	0.1221937473
659	0.1219301802
660	0.1217280029
661	0.1215112731
662	0.1214957184
663	0.121353389
664	0.1212419737
665	0.1211991294
666	0.1210553029
667	0.1209907358
668	0.1206546146
669	0.1203905331
670	0.1203775614
671	0.1203127061
672	0.1202623214
673	0.1201857691
674	0.1201090127
675	0.1200449924
676	0.1200163408
677	0.1198525277
678	0.1196710682
679	0.1196583773
680	0.1195059308
681	0.1193783689
682	0.1192760534
683	0.1192625782
684	0.119117478
685	0.1190279093
686	0.1187742537
687	0.1186838176
688	0.1185879875
689	0.1183802176
690	0.1180785351
691	0.1180699314
692	0.1180212312
693	0.1178416769
694	0.1177804461
695	0.1176279433
696	0.1173066743
697	0.1172674864
698	0.1171122218
699	0.1168666988
700	0.116754942
701	0.1167002046
702	0.116347449
703	0.1162349507
704	0.1159647489
705	0.1156966056
706	0.1156347901
707	0.1155297997
708	0.1154542733
709	0.1154436897
710	0.1152302218
711	0.1151904119
712	0.1149624388
713	0.1149050352
714	0.1148474693
715	0.1145251305
716	0.1144360479
717	0.1144141204
718	0.1141252257
719	0.1138238185
720	0.1137778004
721	0.1137034387
722	0.1135159474
723	0.1133442021
724	0.1131508799
725	0.1131384862
726	0.1130317445
727	0.1128959434
728	0.1128794414
729	0.1127687744
730	0.112649162
731	0.1125229592
732	0.1123558254
733	0.1122736476
734	0.112258488
735	0.1120547324
736	0.1120268966
737	0.1120124549
738	0.1118713943
739	0.1116608873
740	0.1115216647
741	0.1115008227
742	0.1114218843
743	0.111227058
744	0.1110175216
745	0.1109151584
746	0.110728636
747	0.1105691254
748	0.1104120347
749	0.1102640625
750	0.1100874343
751	0.1100299064
752	0.1099654822
753	0.1098709464
754	0.1096631177
755	0.1093925565
756	0.1092728802
757	0.1090123163
758	0.1086044613
759	0.1084066505
760	0.1081274311
761	0.1081043247
762	0.1078843826
763	0.1078062025
764	0.1077970891
765	0.1077156125
766	0.1075981114
767	0.1075800336
768	0.1075215691
769	0.1072815945
770	0.1071306079
771	0.1070663895
772	0.1069047812
773	0.1068849085
774	0.1068736064
775	0.1065936401
776	0.1064543035
777	0.1063508829
778	0.1063396347
779	0.1063293689
780	0.1062678551
781	0.1060541998
782	0.1057957929
783	0.1057456621
784	0.105585879
785	0.1054159074
786	0.1052666937
787	0.1050743558
788	0.1050621724
789	0.1049382046
790	0.1048025758
791	0.1046332042
792	0.1046194488
793	0.1045653367
794	0.1043598012
795	0.1041404247
796	0.1039813087
797	0.1039006066
798	0.103761189
799	0.103751881
800	0.103629267
801	0.1034679178
802	0.1034021216
803	0.1033284482
804	0.1032094604
805	0.1030311172
806	0.1029049337
807	0.1026364987
808	0.1025864449
809	0.1023740425
810	0.1021754018
811	0.1021335998
812	0.1021242261
813	0.1019920604
814	0.1019671808
815	0.1016593483
816	0.1015254671
817	0.1014210863
818	0.1014118604
819	0.1012467435
820	0.1010752586
821	0.1008527732
822	0.1008418952
823	0.1007143027
824	0.1006753244
825	0.1003517109
826	0.1003435853
827	0.1003346984
828	0.1002515864
829	0.1000373242
830	0.09982391346
831	0.09969779153
832	0.09967254872
833	0.09949653513
834	0.09929674803
835	0.09913718431
836	0.09898688385
837	0.09885721674
838	0.09861931725
839	0.09859909984
840	0.09836414741
841	0.098267527
842	0.09810494163
843	0.09806593733
844	0.09794311419
845	0.09779704304
846	0.09778225154
847	0.09764915667
848	0.09744324339
849	0.09733775314
850	0.09711342208
851	0.09702950157
852	0.09702568509
853	0.09683433939
854	0.09662931189
855	0.09644258211
856	0.09633743766
857	0.09620838304
858	0.09608590315
859	0.09607847041
860	0.09589481151
861	0.09579010997
862	0.0957453219
863	0.09573211181
864	0.09560223078
865	0.09555509966
866	0.09548070219
867	0.09541272186
868	0.09530815777
869	0.09509273784
870	0.09497419595
871	0.09487788489
872	0.09469777489
873	0.09468763079
874	0.09454047646
875	0.09438487466
876	0.09428202653
877	0.09424135983
878	0.09410929166
879	0.09406584747
880	0.09405772989
881	0.09392627162
882	0.09386704617
883	0.09372451382
884	0.09358227037
885	0.093387506
886	0.09330228738
887	0.09319024886
888	0.09310340606
889	0.09299561988
890	0.09292280271
891	0.09284302221
892	0.09271546885
893	0.09260300859
894	0.09259650797
895	0.09244884608
896	0.09231739134
897	0.09212048725
898	0.0920232243
899	0.09195005283
900	0.09191131003
901	0.09181477893
902	0.09161076977
903	0.09145314816
904	0.09143539944
905	0.09135159615
906	0.09125665559
907	0.09124739916
908	0.09102614378
909	0.09088806383
910	0.0907445116
911	0.09058316331
912	0.09045320634
913	0.09038644141
914	0.09029451905
915	0.09022035742
916	0.09010460613
917	0.09008768698
918	0.09007692643
919	0.08998376633
920	0.08989261944
921	0.08978624268
922	0.08978272342
923	0.08971041539
924	0.08959317126
925	0.08950018061
926	0.08931642842
927	0.08918767596
928	0.08906831721
929	0.08895075604
930	0.08892766157
931	0.0889192074
932	0.08889854049
933	0.08871213878
934	0.08868034054
935	0.08863573467
936	0.08862750327
937	0.08855138564
938	0.08835716368
939	0.0882175207
940	0.08821088814
941	0.08815051112
942	0.08813107907
943	0.08797313536
944	0.08783024326
945	0.08771266692
946	0.08768704126
947	0.08759239189
948	0.08742027171
949	0.08725508462
950	0.08713121584
951	0.08695789171
952	0.08683091449
953	0.08673957629
954	0.08665564355
955	0.08654844964
956	0.08643757016
957	0.08629850791
958	0.08619146693
959	0.08613205034
960	0.08593761564
961	0.08587715581
962	0.0858275608
963	0.08573176116
964	0.08554858891
965	0.08545930248
966	0.08542584896
967	0.08533264225
968	0.08531734645
969	0.08514832484
970	0.08509892661
971	0.08504436215
972	0.08495237431
973	0.08475472024
974	0.08461178655
975	0.08453634174
976	0.08433159335
977	0.08417829988
978	0.08401629488
979	0.08388249679
980	0.08384026016
981	0.08370571027
982	0.0835896783
983	0.0834679276
984	0.08337459783
985	0.0832467777
986	0.08320885876
987	0.08316364326
988	0.08310005811
989	0.0830751403
990	0.08302619872
991	0.08289874695
992	0.08279236967
993	0.08275446657
994	0.08268454168
995	0.08262401134
996	0.08255952853
997	0.08246384962
998	0.08241960016
999	0.08227150706
