iter	Passed	Remaining
201	303	1197
202	308	1211
203	310	1209
204	311	1208
205	312	1206
206	314	1204
207	315	1202
208	317	1200
209	318	1197
210	320	1200
211	322	1198
212	323	1195
213	325	1195
214	326	1192
215	327	1190
216	329	1188
217	330	1185
218	331	1183
219	333	1182
220	335	1181
221	337	1181
222	338	1180
223	340	1179
224	341	1176
225	342	1174
226	344	1172
227	345	1170
228	346	1167
229	348	1165
230	349	1164
231	351	1163
232	353	1164
233	354	1161
234	356	1159
235	357	1158
236	359	1157
237	360	1155
238	362	1153
239	363	1151
240	366	1153
241	367	1152
242	369	1150
243	370	1148
244	371	1146
245	373	1143
246	374	1141
247	375	1139
248	376	1137
249	378	1136
250	380	1134
251	382	1134
252	383	1132
253	385	1130
254	387	1130
255	388	1129
256	390	1128
257	391	1127
258	393	1125
259	394	1124
260	397	1124
261	398	1123
262	400	1121
263	401	1119
264	402	1116
265	403	1114
266	404	1111
267	406	1108
268	407	1106
269	408	1104
270	410	1102
271	411	1102
272	413	1101
273	414	1098
274	415	1096
275	417	1094
276	418	1091
277	419	1089
278	421	1088
279	422	1086
280	423	1083
281	424	1081
282	426	1079
283	427	1077
284	428	1075
285	429	1073
286	431	1071
287	432	1069
288	433	1067
289	435	1065
290	436	1063
291	437	1061
292	438	1059
293	440	1057
294	443	1060
295	445	1058
296	446	1056
297	447	1054
298	448	1052
299	450	1051
300	452	1049
301	453	1047
302	454	1045
303	455	1043
304	457	1043
305	458	1040
306	460	1039
307	461	1037
308	462	1035
309	464	1033
310	465	1030
311	466	1028
312	467	1026
313	469	1024
314	470	1023
315	473	1024
316	474	1022
317	475	1019
318	476	1017
319	477	1015
320	478	1012
321	479	1010
322	481	1008
323	482	1007
324	483	1004
325	484	1002
326	486	1000
327	487	999
328	489	999
329	491	997
330	492	995
331	493	993
332	495	991
333	496	989
334	497	987
335	498	985
336	500	983
337	501	982
338	505	986
339	506	984
340	508	982
341	509	980
342	511	979
343	512	977
344	513	975
345	515	973
346	516	971
347	518	970
348	519	969
349	520	967
350	522	965
351	523	964
352	524	961
353	526	960
354	527	958
355	528	956
356	530	954
357	531	952
358	532	951
359	534	950
360	535	948
361	536	946
362	538	944
363	539	942
364	540	940
365	541	938
366	542	936
367	545	937
368	546	935
369	548	934
370	549	932
371	550	930
372	552	928
373	553	926
374	554	924
375	556	923
376	557	921
377	558	919
378	560	917
379	562	917
380	564	916
381	565	914
382	566	912
383	567	910
384	568	908
385	569	906
386	571	904
387	572	902
388	573	901
389	574	899
390	575	897
391	577	895
392	579	894
393	580	893
394	581	891
395	583	889
396	585	888
397	586	887
398	587	885
399	589	884
400	590	882
401	592	880
402	593	879
403	595	878
404	598	878
405	600	879
406	602	878
407	604	877
408	605	875
409	608	875
410	610	875
411	612	874
412	614	872
413	615	871
414	616	869
415	618	867
416	619	866
417	621	865
418	622	863
419	625	863
420	626	862
421	628	860
422	629	858
423	630	856
424	631	854
425	633	853
426	634	851
427	635	849
428	636	847
429	638	846
430	640	845
431	641	843
432	642	841
433	644	839
434	645	837
435	646	836
436	647	834
437	649	832
438	650	831
439	651	829
440	652	827
441	654	826
442	656	825
443	657	823
444	659	822
445	660	820
446	661	818
447	662	816
448	664	814
449	665	813
450	666	811
451	667	809
452	669	808
453	671	806
454	672	805
455	673	803
456	674	801
457	675	799
458	677	798
459	678	796
460	679	794
461	680	792
462	681	790
463	682	788
464	684	787
465	686	786
466	687	784
467	688	783
468	690	781
469	691	779
470	692	777
471	693	776
472	695	775
473	697	773
474	698	771
475	699	770
476	702	769
477	703	767
478	704	766
479	705	764
480	706	762
481	708	761
482	709	759
483	710	757
484	711	756
485	713	754
486	714	752
487	716	751
488	718	750
489	719	748
490	720	746
491	721	745
492	723	743
493	724	741
494	725	740
495	726	738
496	727	736
497	729	734
498	730	733
499	732	732
500	733	730
501	734	728
502	735	727
503	736	725
504	738	723
505	740	722
506	741	721
507	743	719
508	744	718
509	746	716
510	748	716
511	750	714
512	751	713
513	752	711
514	753	709
515	754	708
516	756	706
517	757	704
518	758	702
519	759	701
520	761	700
521	763	699
522	764	697
523	765	695
524	767	694
525	768	692
526	769	690
527	770	689
528	772	687
529	773	685
530	774	683
531	775	682
532	778	681
533	779	680
534	781	678
535	782	677
536	783	675
537	784	673
538	785	672
539	787	670
540	788	668
541	789	666
542	790	665
543	793	664
544	794	663
545	795	661
546	797	660
547	798	658
548	799	657
549	801	655
550	802	653
551	803	652
552	805	651
553	806	649
554	809	648
555	810	647
556	811	645
557	813	644
558	815	643
559	816	641
560	817	639
561	818	638
562	820	636
563	821	635
564	823	633
565	824	632
566	825	630
567	826	628
568	828	627
569	829	626
570	831	624
571	832	622
572	833	621
573	834	619
574	836	618
575	838	617
576	839	615
577	841	614
578	842	612
579	843	610
580	844	609
581	845	607
582	846	605
583	848	604
584	849	602
585	850	601
586	853	600
587	855	599
588	856	597
589	858	596
590	859	594
591	861	593
592	863	592
593	865	591
594	866	589
595	867	587
596	868	586
597	870	584
598	923	617
599	926	617
600	929	616
601	932	616
602	937	617
603	953	624
604	955	624
605	957	622
606	958	620
607	960	618
608	1010	648
609	1012	647
610	1013	645
611	1016	644
612	1017	642
613	1019	640
614	1020	638
615	1021	636
616	1022	634
617	1023	632
618	1024	630
619	1026	628
620	1027	627
621	1028	625
622	1029	623
623	1031	621
624	1032	619
625	1034	618
626	1036	616
627	1037	614
628	1038	612
629	1040	610
630	1041	609
631	1043	607
632	1044	605
633	1049	606
634	1052	604
635	1054	603
636	1055	601
637	1057	600
638	1059	598
639	1060	596
640	1062	595
641	1064	593
642	1066	591
643	1067	590
644	1068	588
645	1070	586
646	1072	584
647	1074	583
648	1075	581
649	1077	580
650	1079	578
651	1081	577
652	1082	575
653	1083	573
654	1085	571
655	1086	569
656	1088	568
657	1089	566
658	1092	565
659	1093	563
660	1095	561
661	1097	560
662	1098	558
663	1100	556
664	1101	554
665	1102	553
666	1104	551
667	1105	549
668	1106	547
669	1108	545
670	1109	544
671	1111	542
672	1112	540
673	1113	538
674	1114	536
675	1116	535
676	1117	533
677	1118	531
678	1120	529
679	1121	527
680	1122	525
681	1124	524
682	1127	523
683	1128	521
684	1129	519
685	1131	517
686	1132	516
687	1133	514
688	1135	512
689	1137	510
690	1140	510
691	1141	508
692	1143	506
693	1144	504
694	1146	503
695	1148	501
696	1149	499
697	1150	497
698	1152	496
699	1154	494
700	1156	493
701	1157	491
702	1158	489
703	1159	487
704	1160	485
705	1162	483
706	1163	482
707	1164	480
708	1165	478
709	1167	476
710	1169	475
711	1171	473
712	1172	471
713	1172	469
714	1174	467
715	1175	466
716	1176	464
717	1177	462
718	1178	460
719	1179	458
720	1180	456
721	1182	455
722	1183	453
723	1185	451
724	1186	450
725	1187	448
726	1188	446
727	1190	444
728	1191	442
729	1192	441
730	1193	439
731	1194	437
732	1195	435
733	1197	433
734	1198	432
735	1203	431
736	1206	430
737	1207	428
738	1208	426
739	1210	425
740	1211	423
741	1212	421
742	1213	419
743	1214	417
744	1215	416
745	1216	414
746	1217	412
747	1219	410
748	1220	408
749	1221	407
750	1222	405
751	1222	403
752	1223	401
753	1224	399
754	1225	397
755	1226	395
756	1227	393
757	1228	392
758	1231	390
759	1232	389
760	1233	387
761	1234	385
762	1235	383
763	1236	381
764	1237	380
765	1238	378
766	1239	376
767	1240	374
768	1241	372
769	1242	371
770	1243	369
771	1244	367
772	1246	365
773	1247	364
774	1248	362
775	1249	360
776	1250	358
777	1251	357
778	1252	355
779	1253	353
780	1254	351
781	1255	349
782	1256	348
783	1257	346
784	1258	344
785	1259	342
786	1261	341
787	1262	339
788	1263	337
789	1264	336
790	1265	334
791	1266	332
792	1267	330
793	1268	329
794	1269	327
795	1270	325
796	1271	323
797	1272	322
798	1272	320
799	1273	318
800	1274	316
801	1276	315
802	1277	313
803	1278	311
804	1279	310
805	1280	308
806	1281	306
807	1282	304
808	1283	303
809	1284	301
810	1285	299
811	1286	297
812	1287	296
813	1288	294
814	1289	292
815	1289	290
816	1291	289
817	1292	287
818	1293	285
819	1294	284
820	1295	282
821	1296	280
822	1297	279
823	1298	277
824	1298	275
825	1299	273
826	1300	272
827	1301	270
828	1302	268
829	1303	267
830	1304	265
831	1305	263
832	1307	262
833	1308	260
834	1309	258
835	1310	257
836	1311	255
837	1312	253
838	1313	251
839	1313	250
840	1315	248
841	1316	247
842	1318	245
843	1319	243
844	1320	242
845	1322	240
846	1323	239
847	1324	237
848	1325	235
849	1326	234
850	1327	232
851	1328	230
852	1328	229
853	1329	227
854	1330	225
855	1331	224
856	1332	222
857	1333	220
858	1334	219
859	1335	217
860	1337	215
861	1338	214
862	1339	212
863	1340	210
864	1341	209
865	1342	207
866	1343	206
867	1344	204
868	1345	202
869	1346	201
870	1347	199
871	1348	197
872	1349	196
873	1350	194
874	1350	192
875	1352	191
876	1353	189
877	1354	188
878	1355	186
879	1356	184
880	1357	183
881	1358	181
882	1359	180
883	1361	178
884	1363	177
885	1364	175
886	1365	173
887	1366	172
888	1368	170
889	1369	169
890	1370	167
891	1371	166
892	1373	164
893	1374	162
894	1375	161
895	1376	159
896	1377	158
897	1378	156
898	1379	155
899	1380	153
900	1382	151
901	1383	150
902	1384	148
903	1385	147
904	1386	145
905	1387	143
906	1388	142
907	1389	140
908	1390	139
909	1391	137
910	1392	136
911	1393	134
912	1394	132
913	1395	131
914	1396	129
915	1397	128
916	1398	126
917	1399	125
918	1400	123
919	1401	121
920	1402	120
921	1403	118
922	1404	117
923	1405	115
924	1406	114
925	1407	112
926	1408	110
927	1409	109
928	1409	107
929	1410	106
930	1411	104
931	1412	103
932	1414	101
933	1415	100
934	1416	98
935	1417	96
936	1418	95
937	1419	93
938	1420	92
939	1421	90
940	1422	89
941	1423	87
942	1424	86
943	1425	84
944	1426	83
945	1427	81
946	1428	79
947	1430	78
948	1431	76
949	1431	75
950	1432	73
951	1433	72
952	1435	70
953	1437	69
954	1438	67
955	1439	66
956	1440	64
957	1441	63
958	1442	61
959	1443	60
960	1444	58
961	1445	57
962	1447	55
963	1447	54
964	1449	52
965	1449	51
966	1450	49
967	1451	47
968	1452	46
969	1453	44
970	1454	43
971	1455	41
972	1456	40
973	1457	38
974	1458	37
975	1460	35
976	1461	34
977	1462	32
978	1463	31
979	1464	29
980	1465	28
981	1466	26
982	1467	25
983	1468	23
984	1469	22
985	1470	20
986	1471	19
987	1472	17
988	1473	16
989	1474	14
990	1475	13
991	1476	11
992	1477	10
993	1478	8
994	1479	7
995	1481	5
996	1482	4
997	1483	2
998	1484	1
999	1486	0
